STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF
10001,7/28/1942,0,,26.66666667,19.44444444,23.33333333,0,,42,7,28,0,,,80,67,74,0
10001,7/29/1942,0,,26.66666667,19.44444444,23.33333333,0,,42,7,29,0,,,80,67,74,0
10001,7/30/1942,0,,27.22222222,19.44444444,23.33333333,0,,42,7,30,0,,,81,67,74,0
10001,7/31/1942,0,,27.22222222,19.44444444,23.33333333,0,,42,7,31,0,,,81,67,74,0
10001,8/1/1942,0,,26.11111111,20,23.33333333,0,,42,8,1,0,,,79,68,74,0
10001,8/2/1942,0,,24.44444444,20.55555556,22.22222222,0,,42,8,2,0,,,76,69,72,0
10001,8/3/1942,0,,24.44444444,20.55555556,22.22222222,0,,42,8,3,0,,,76,69,72,0
10001,8/4/1942,0,,26.66666667,21.11111111,23.88888889,0,,42,8,4,0,,,80,70,75,0
10001,8/5/1942,T,,26.66666667,21.11111111,23.88888889,0,,42,8,5,T,,,80,70,75,0
10001,8/6/1942,0,,24.44444444,21.66666667,23.33333333,0,,42,8,6,0,,,76,71,74,0
10001,8/7/1942,T,,24.44444444,21.11111111,22.77777778,0,,42,8,7,T,,,76,70,73,0
10001,8/8/1942,0,,26.11111111,20.55555556,23.33333333,0,,42,8,8,0,,,79,69,74,0
10001,8/9/1942,0,,26.11111111,20.55555556,23.33333333,0,,42,8,9,0,,,79,69,74,0
10001,8/10/1942,0,,27.22222222,21.66666667,24.44444444,0,,42,8,10,0,,,81,71,76,0
10001,8/11/1942,0,,25,21.66666667,23.33333333,0,,42,8,11,0,,,77,71,74,0
10001,8/12/1942,0,,25.55555556,20.55555556,23.33333333,0,,42,8,12,0,,,78,69,74,0
10001,8/13/1942,0,,25.55555556,20.55555556,23.33333333,0,,42,8,13,0,,,78,69,74,0
10001,8/14/1942,T,,25.55555556,20,22.77777778,0,,42,8,14,T,,,78,68,73,0
10001,8/15/1942,0.254,,25.55555556,17.77777778,21.66666667,0,,42,8,15,0.01,,,78,64,71,0
10001,8/16/1942,0,,25.55555556,19.44444444,22.22222222,0,,42,8,16,0,,,78,67,72,0
10001,8/17/1942,T,,25.55555556,20,22.77777778,0,,42,8,17,T,,,78,68,73,0
10001,8/18/1942,T,,26.11111111,20.55555556,23.33333333,0,,42,8,18,T,,,79,69,74,0
10001,8/19/1942,0,,27.77777778,20.55555556,24.44444444,0,,42,8,19,0,,,82,69,76,0
10001,8/20/1942,0.508,,23.88888889,20.55555556,22.22222222,0,,42,8,20,0.02,,,75,69,72,0
10001,8/21/1942,0.254,,32.77777778,20,23.33333333,0,,42,8,21,0.01,,,91,68,74,0
10001,8/22/1942,0,,27.22222222,20.55555556,23.33333333,0,,42,8,22,0,,,81,69,74,0
10001,8/23/1942,0,,25,20.55555556,22.77777778,0,,42,8,23,0,,,77,69,73,0
10001,8/24/1942,0,,27.77777778,20.55555556,24.44444444,0,,42,8,24,0,,,82,69,76,0
10001,8/25/1942,0,,26.66666667,20,23.33333333,0,,42,8,25,0,,,80,68,74,0
10001,8/26/1942,0,,27.22222222,20.55555556,23.88888889,0,,42,8,26,0,,,81,69,75,0
10001,8/27/1942,0,,27.22222222,20.55555556,23.88888889,0,,42,8,27,0,,,81,69,75,0
10001,8/28/1942,T,,27.22222222,20.55555556,23.88888889,0,,42,8,28,T,,,81,69,75,0
10001,8/29/1942,T,,25,21.11111111,23.33333333,0,,42,8,29,T,,,77,70,74,0
10001,8/30/1942,0,,27.22222222,20.55555556,23.88888889,0,,42,8,30,0,,,81,69,75,0
10001,8/31/1942,0,,27.22222222,21.11111111,23.88888889,0,,42,8,31,0,,,81,70,75,0
10001,9/1/1942,0.254,,27.22222222,21.11111111,24.44444444,0,,42,9,1,0.01,,,81,70,76,0
10001,9/2/1942,0.254,,27.22222222,22.22222222,25,0,,42,9,2,0.01,,,81,72,77,0
10001,9/3/1942,1.778,,27.22222222,21.11111111,24.44444444,0,,42,9,3,0.07,,,81,70,76,0
10001,9/4/1942,0,,27.22222222,21.11111111,24.44444444,0,,42,9,4,0,,,81,70,76,0
10001,9/5/1942,T,,27.22222222,22.22222222,24.44444444,0,,42,9,5,T,,,81,72,76,0
10001,9/6/1942,0,,26.66666667,22.22222222,24.44444444,0,,42,9,6,0,,,80,72,76,0
10001,9/7/1942,0.254,,26.66666667,21.66666667,24.44444444,0,,42,9,7,0.01,,,80,71,76,0
10001,9/8/1942,0,,27.22222222,21.11111111,24.44444444,0,,42,9,8,0,,,81,70,76,0
10001,9/9/1942,T,,26.66666667,21.66666667,24.44444444,0,,42,9,9,T,,,80,71,76,0
10001,9/10/1942,0,,28.33333333,21.11111111,24.44444444,0,,42,9,10,0,,,83,70,76,0
10001,9/11/1942,0,,26.11111111,21.11111111,23.33333333,0,,42,9,11,0,,,79,70,74,0
10001,9/12/1942,T,,27.22222222,21.66666667,24.44444444,0,,42,9,12,T,,,81,71,76,0
10001,9/13/1942,T,,27.22222222,21.66666667,24.44444444,0,,42,9,13,T,,,81,71,76,0
10001,9/14/1942,1.016,,27.77777778,22.77777778,25.55555556,0,,42,9,14,0.04,,,82,73,78,0
10001,9/15/1942,0,,27.77777778,22.77777778,25.55555556,0,,42,9,15,0,,,82,73,78,0
10001,9/16/1942,0,,30,21.66666667,25.55555556,0,,42,9,16,0,,,86,71,78,0
10001,9/17/1942,0,,27.77777778,22.22222222,25,0,,42,9,17,0,,,82,72,77,0
10001,9/18/1942,0,,31.11111111,21.11111111,26.11111111,0,,42,9,18,0,,,88,70,79,0
10001,9/19/1942,0,,34.44444444,22.22222222,28.33333333,0,,42,9,19,0,,,94,72,83,0
10001,9/20/1942,T,,30.55555556,21.66666667,26.11111111,0,,42,9,20,T,,,87,71,79,0
10001,9/21/1942,T,,29.44444444,22.22222222,26.11111111,0,,42,9,21,T,,,85,72,79,0
10001,9/22/1942,T,,30.55555556,22.22222222,26.66666667,0,,42,9,22,T,,,87,72,80,0
10001,9/23/1942,0.254,,26.11111111,23.33333333,25,0,,42,9,23,0.01,,,79,74,77,0
10001,9/24/1942,0,,25.55555556,22.22222222,23.88888889,0,,42,9,24,0,,,78,72,75,0
10001,9/25/1942,T,,30.55555556,21.66666667,26.11111111,0,,42,9,25,T,,,87,71,79,0
10001,9/26/1942,0,,31.66666667,22.22222222,27.22222222,0,,42,9,26,0,,,89,72,81,0
10001,9/27/1942,T,,31.66666667,21.11111111,26.66666667,0,,42,9,27,T,,,89,70,80,0
10001,9/28/1942,3.302,,32.22222222,20.55555556,26.11111111,0,,42,9,28,0.13,,,90,69,79,0
10001,9/29/1942,0.762,,27.77777778,22.22222222,25,0,,42,9,29,0.03,,,82,72,77,0
10001,9/30/1942,0,,29.44444444,22.22222222,26.11111111,0,,42,9,30,0,,,85,72,79,0
10001,10/1/1942,T,,31.11111111,23.33333333,27.22222222,0,,42,10,1,T,,,88,74,81,0
10001,10/2/1942,0,,31.11111111,22.77777778,27.22222222,0,,42,10,2,0,,,88,73,81,0
10001,10/3/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,10,3,0,,,88,72,80,0
10001,10/4/1942,5.588,,27.22222222,21.11111111,23.88888889,0,,42,10,4,0.22,,,81,70,75,0
10001,10/5/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,10,5,0,,,88,72,80,0
10001,10/6/1942,0.254,,29.44444444,22.22222222,25.55555556,0,,42,10,6,0.01,,,85,72,78,0
10001,10/7/1942,5.08,,29.44444444,22.77777778,26.11111111,0,,42,10,7,0.2,,,85,73,79,0
10001,10/8/1942,2.032,,28.88888889,20.55555556,25,0,,42,10,8,0.08,,,84,69,77,0
10001,10/9/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,10,9,0,,,88,72,80,0
10001,10/10/1942,T,,30.55555556,22.22222222,26.66666667,0,,42,10,10,T,,,87,72,80,0
10001,10/11/1942,T,,27.77777778,21.11111111,24.44444444,0,,42,10,11,T,,,82,70,76,0
10001,10/12/1942,0,,30.55555556,21.11111111,25.55555556,0,,42,10,12,0,,,87,70,78,0
10001,10/13/1942,T,,30,22.77777778,26.11111111,0,,42,10,13,T,,,86,73,79,0
10001,10/14/1942,25.654,,27.22222222,22.22222222,24.44444444,0,,42,10,14,1.01,,,81,72,76,0
10001,10/15/1942,T,,30.55555556,21.11111111,25.55555556,0,,42,10,15,T,,,87,70,78,0
10001,10/16/1942,T,,30.55555556,22.22222222,26.11111111,0,,42,10,16,T,,,87,72,79,0
10001,10/17/1942,40.132,,28.88888889,21.66666667,25.55555556,0,,42,10,17,1.58,,,84,71,78,0
10001,10/18/1942,T,,30,22.22222222,26.11111111,0,,42,10,18,T,,,86,72,79,0
10001,10/19/1942,0.762,,30,21.66666667,26.11111111,0,,42,10,19,0.03,,,86,71,79,0
10001,10/20/1942,T,,29.44444444,22.22222222,26.11111111,0,,42,10,20,T,,,85,72,79,0
10001,10/21/1942,2.032,,28.88888889,22.22222222,25.55555556,0,,42,10,21,0.08,,,84,72,78,0
10001,10/22/1942,0,,30,22.22222222,25.55555556,0,,42,10,22,0,,,86,72,78,0
10001,10/23/1942,0,,30.55555556,22.77777778,26.66666667,0,,42,10,23,0,,,87,73,80,0
10001,10/24/1942,T,,30.55555556,22.22222222,26.11111111,0,,42,10,24,T,,,87,72,79,0
10001,10/25/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,10,25,0,,,88,72,80,0
10001,10/26/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,10,26,0,,,88,72,80,0
10001,10/27/1942,0,,31.66666667,22.77777778,27.22222222,0,,42,10,27,0,,,89,73,81,0
10001,10/28/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,10,28,0,,,88,72,80,0
10001,10/29/1942,0,,32.22222222,21.11111111,26.66666667,0,,42,10,29,0,,,90,70,80,0
10001,10/30/1942,0.508,,31.66666667,21.66666667,26.66666667,0,,42,10,30,0.02,,,89,71,80,0
10001,10/31/1942,T,,30.55555556,20.55555556,25.55555556,0,1,42,10,31,T,,,87,69,78,0
10001,11/1/1942,0,,31.11111111,23.33333333,27.22222222,0,,42,11,1,0,,,88,74,81,0
10001,11/2/1942,0,,31.66666667,22.22222222,26.66666667,0,,42,11,2,0,,,89,72,80,0
10001,11/3/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,11,3,0,,,88,72,80,0
10001,11/4/1942,T,,30.55555556,22.77777778,26.66666667,0,,42,11,4,T,,,87,73,80,0
10001,11/5/1942,0,,31.66666667,22.22222222,26.66666667,0,,42,11,5,0,,,89,72,80,0
10001,11/6/1942,0,,32.77777778,22.22222222,27.77777778,0,,42,11,6,0,,,91,72,82,0
10001,11/7/1942,0,,31.66666667,23.33333333,27.77777778,0,,42,11,7,0,,,89,74,82,0
10001,11/8/1942,0,,31.11111111,22.77777778,26.66666667,0,,42,11,8,0,,,88,73,80,0
10001,11/9/1942,0,,31.66666667,22.77777778,27.22222222,0,,42,11,9,0,,,89,73,81,0
10001,11/10/1942,0,,32.77777778,22.77777778,27.77777778,0,,42,11,10,0,,,91,73,82,0
10001,11/11/1942,0,,32.22222222,23.33333333,27.77777778,0,,42,11,11,0,,,90,74,82,0
10001,11/12/1942,0,,32.22222222,22.77777778,27.77777778,0,,42,11,12,0,,,90,73,82,0
10001,11/13/1942,0,,32.22222222,22.77777778,27.77777778,0,,42,11,13,0,,,90,73,82,0
10001,11/14/1942,0,,32.22222222,22.77777778,27.77777778,0,,42,11,14,0,,,90,73,82,0
10001,11/15/1942,0,,32.22222222,22.77777778,27.77777778,0,,42,11,15,0,,,90,73,82,0
10001,11/16/1942,T,,32.22222222,22.77777778,27.77777778,0,,42,11,16,T,,,90,73,82,0
10001,11/17/1942,0,,32.77777778,23.33333333,27.77777778,0,,42,11,17,0,,,91,74,82,0
10001,11/18/1942,0,,31.66666667,23.33333333,27.77777778,0,,42,11,18,0,,,89,74,82,0
10001,11/19/1942,0,,31.66666667,22.77777778,27.22222222,0,,42,11,19,0,,,89,73,81,0
10001,11/20/1942,0,,31.66666667,23.33333333,27.77777778,0,,42,11,20,0,,,89,74,82,0
10001,11/21/1942,T,,32.22222222,22.77777778,27.77777778,0,,42,11,21,T,,,90,73,82,0
10001,11/22/1942,0,,31.66666667,21.11111111,26.66666667,0,,42,11,22,0,,,89,70,80,0
10001,11/23/1942,0,,32.77777778,23.33333333,27.77777778,0,,42,11,23,0,,,91,74,82,0
10001,11/24/1942,0,,32.22222222,23.33333333,27.77777778,0,,42,11,24,0,,,90,74,82,0
10001,11/25/1942,0,,33.33333333,23.33333333,28.33333333,0,,42,11,25,0,,,92,74,83,0
10001,11/26/1942,0,,32.22222222,22.22222222,27.22222222,0,,42,11,26,0,,,90,72,81,0
10001,11/27/1942,19.05,,32.77777778,21.66666667,27.22222222,0,,42,11,27,0.75,,,91,71,81,0
10001,11/28/1942,0,,31.11111111,21.66666667,26.66666667,0,,42,11,28,0,,,88,71,80,0
10001,11/29/1942,0,,32.22222222,22.77777778,27.77777778,0,,42,11,29,0,,,90,73,82,0
10001,11/30/1942,T,,32.77777778,23.33333333,27.77777778,0,,42,11,30,T,,,91,74,82,0
10001,12/1/1942,0,,32.22222222,22.22222222,27.22222222,0,,42,12,1,0,,,90,72,81,0
10001,12/2/1942,0,,32.77777778,23.33333333,27.77777778,0,,42,12,2,0,,,91,74,82,0
10001,12/3/1942,23.876,,31.66666667,19.44444444,25.55555556,0,,42,12,3,0.94,,,89,67,78,0
10001,12/4/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,12,4,0,,,88,72,80,0
10001,12/5/1942,0,,31.66666667,22.22222222,26.66666667,0,,42,12,5,0,,,89,72,80,0
10001,12/6/1942,0,,31.66666667,22.22222222,26.66666667,0,,42,12,6,0,,,89,72,80,0
10001,12/7/1942,0,,31.11111111,21.66666667,26.66666667,0,,42,12,7,0,,,88,71,80,0
10001,12/8/1942,0,,32.22222222,22.22222222,27.22222222,0,,42,12,8,0,,,90,72,81,0
10001,12/9/1942,0,,32.77777778,23.88888889,28.33333333,0,,42,12,9,0,,,91,75,83,0
10001,12/10/1942,4.064,,32.77777778,20,26.66666667,0,,42,12,10,0.16,,,91,68,80,0
10001,12/11/1942,0,,29.44444444,20,24.44444444,0,,42,12,11,0,,,85,68,76,0
10001,12/12/1942,0,,26.66666667,19.44444444,23.33333333,0,,42,12,12,0,,,80,67,74,0
10001,12/13/1942,0,,30.55555556,20.55555556,25.55555556,0,,42,12,13,0,,,87,69,78,0
10001,12/14/1942,0,,31.11111111,22.77777778,26.66666667,0,,42,12,14,0,,,88,73,80,0
10001,12/15/1942,2.54,,31.11111111,22.22222222,26.66666667,0,,42,12,15,0.1,,,88,72,80,0
10001,12/16/1942,0,,30.55555556,22.22222222,26.66666667,0,,42,12,16,0,,,87,72,80,0
10001,12/17/1942,0,,31.11111111,22.77777778,26.66666667,0,,42,12,17,0,,,88,73,80,0
10001,12/18/1942,0,,30.55555556,22.77777778,26.66666667,0,,42,12,18,0,,,87,73,80,0
10001,12/19/1942,0,,31.11111111,21.66666667,26.66666667,0,,42,12,19,0,,,88,71,80,0
10001,12/20/1942,0,,31.11111111,22.77777778,26.66666667,0,,42,12,20,0,,,88,73,80,0
10001,12/21/1942,0.508,,33.88888889,18.88888889,26.66666667,0,,42,12,21,0.02,,,93,66,80,0
10001,12/22/1942,0,,31.11111111,18.88888889,25,0,,42,12,22,0,,,88,66,77,0
10001,12/23/1942,0,,32.22222222,21.66666667,26.66666667,0,,42,12,23,0,,,90,71,80,0
10001,12/24/1942,0,,32.22222222,22.22222222,27.22222222,0,,42,12,24,0,,,90,72,81,0
10001,12/25/1942,0,,32.22222222,18.88888889,25.55555556,0,,42,12,25,0,,,90,66,78,0
10001,12/26/1942,0,,32.22222222,21.11111111,26.66666667,0,,42,12,26,0,,,90,70,80,0
10001,12/27/1942,0,,32.77777778,17.22222222,25,0,,42,12,27,0,,,91,63,77,0
10001,12/28/1942,0,,30.55555556,16.11111111,23.33333333,0,,42,12,28,0,,,87,61,74,0
10001,12/29/1942,0,,32.22222222,16.66666667,24.44444444,0,,42,12,29,0,,,90,62,76,0
10001,12/30/1942,0,,32.22222222,18.33333333,25.55555556,0,,42,12,30,0,,,90,65,78,0
10001,12/31/1942,0,,31.11111111,22.22222222,26.66666667,0,,42,12,31,0,,,88,72,80,0
10001,1/1/1943,0,,31.11111111,21.11111111,26.11111111,0,,43,1,1,0,,,88,70,79,0
10001,1/2/1943,12.192,,30.55555556,23.33333333,26.66666667,0,,43,1,2,0.48,,,87,74,80,0
10001,1/3/1943,0,,29.44444444,21.11111111,25.55555556,0,,43,1,3,0,,,85,70,78,0
10001,1/4/1943,0,,30,21.11111111,25.55555556,0,,43,1,4,0,,,86,70,78,0
10001,1/5/1943,0,,30.55555556,20,25.55555556,0,,43,1,5,0,,,87,68,78,0
10001,1/6/1943,0,,31.66666667,21.11111111,26.66666667,0,,43,1,6,0,,,89,70,80,0
10001,1/7/1943,0,,32.22222222,20.55555556,26.66666667,0,,43,1,7,0,,,90,69,80,0
10001,1/8/1943,0,,31.66666667,22.22222222,26.66666667,0,,43,1,8,0,,,89,72,80,0
10001,1/9/1943,0,,30.55555556,23.33333333,26.66666667,0,,43,1,9,0,,,87,74,80,0
10001,1/10/1943,0,,33.33333333,21.66666667,27.77777778,0,,43,1,10,0,,,92,71,82,0
10001,1/11/1943,0,,30.55555556,21.66666667,26.11111111,0,,43,1,11,0,,,87,71,79,0
10001,1/12/1943,0,,31.11111111,19.44444444,25.55555556,0,,43,1,12,0,,,88,67,78,0
10001,1/13/1943,0,,31.66666667,21.66666667,26.66666667,0,,43,1,13,0,,,89,71,80,0
10001,1/14/1943,0,,32.77777778,22.22222222,27.77777778,0,,43,1,14,0,,,91,72,82,0
10001,1/15/1943,0,,31.11111111,23.33333333,27.22222222,0,,43,1,15,0,,,88,74,81,0
10001,1/16/1943,0,,31.66666667,23.33333333,27.77777778,0,,43,1,16,0,,,89,74,82,0
10001,1/17/1943,0,,31.11111111,22.22222222,26.66666667,0,,43,1,17,0,,,88,72,80,0
10001,1/18/1943,0,,32.22222222,22.77777778,27.77777778,0,,43,1,18,0,,,90,73,82,0
10001,1/19/1943,0,,31.66666667,23.33333333,27.77777778,0,,43,1,19,0,,,89,74,82,0
10001,1/20/1943,0,,33.33333333,22.77777778,27.77777778,0,,43,1,20,0,,,92,73,82,0
10001,1/21/1943,0,,32.22222222,24.44444444,28.33333333,0,,43,1,21,0,,,90,76,83,0
10001,1/22/1943,0,,31.66666667,22.22222222,26.66666667,0,,43,1,22,0,,,89,72,80,0
10001,1/23/1943,0,,30.55555556,23.33333333,26.66666667,0,,43,1,23,0,,,87,74,80,0
10001,1/24/1943,2.794,,31.11111111,22.77777778,26.66666667,0,,43,1,24,0.11,,,88,73,80,0
10001,1/25/1943,3.556,,29.44444444,21.66666667,25.55555556,0,,43,1,25,0.14,,,85,71,78,0
10001,1/26/1943,0,,30,20,25,0,,43,1,26,0,,,86,68,77,0
10001,1/27/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,1,27,0,,,88,73,80,0
10001,1/28/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,1,28,0,,,88,73,80,0
10001,1/29/1943,0,,31.66666667,23.88888889,27.77777778,0,,43,1,29,0,,,89,75,82,0
10001,1/30/1943,0,,31.11111111,22.22222222,26.66666667,0,,43,1,30,0,,,88,72,80,0
10001,1/31/1943,0,,29.44444444,23.33333333,26.66666667,0,,43,1,31,0,,,85,74,80,0
10001,2/1/1943,0,,31.11111111,21.66666667,26.66666667,0,,43,2,1,0,,,88,71,80,0
10001,2/2/1943,0,,30.55555556,22.22222222,26.66666667,0,,43,2,2,0,,,87,72,80,0
10001,2/3/1943,0,,31.11111111,22.22222222,26.66666667,0,,43,2,3,0,,,88,72,80,0
10001,2/4/1943,0,,32.77777778,22.22222222,27.77777778,0,,43,2,4,0,,,91,72,82,0
10001,2/5/1943,0,,31.11111111,23.33333333,27.22222222,0,,43,2,5,0,,,88,74,81,0
10001,2/6/1943,0,,31.66666667,23.33333333,27.77777778,0,,43,2,6,0,,,89,74,82,0
10001,2/7/1943,0,,34.44444444,22.77777778,28.88888889,0,,43,2,7,0,,,94,73,84,0
10001,2/8/1943,0,,32.77777778,21.11111111,26.66666667,0,,43,2,8,0,,,91,70,80,0
10001,2/9/1943,0,,34.44444444,24.44444444,29.44444444,0,,43,2,9,0,,,94,76,85,0
10001,2/10/1943,0,,32.77777778,23.88888889,28.33333333,0,,43,2,10,0,,,91,75,83,0
10001,2/11/1943,0,,32.77777778,23.88888889,28.33333333,0,,43,2,11,0,,,91,75,83,0
10001,2/12/1943,0,,30.55555556,24.44444444,27.22222222,0,,43,2,12,0,,,87,76,81,0
10001,2/13/1943,0,,31.11111111,23.88888889,27.22222222,0,,43,2,13,0,,,88,75,81,0
10001,2/14/1943,0,,31.11111111,24.44444444,27.77777778,0,,43,2,14,0,,,88,76,82,0
10001,2/15/1943,0,,32.22222222,25,28.33333333,0,,43,2,15,0,,,90,77,83,0
10001,2/16/1943,33.274,,31.66666667,22.22222222,26.66666667,0,,43,2,16,1.31,,,89,72,80,0
10001,2/17/1943,0,,28.33333333,22.22222222,25.55555556,0,,43,2,17,0,,,83,72,78,0
10001,2/18/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,2,18,0,,,88,73,80,0
10001,2/19/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,2,19,0,,,88,73,80,0
10001,2/20/1943,0,,32.22222222,22.77777778,27.77777778,0,,43,2,20,0,,,90,73,82,0
10001,2/21/1943,0.762,,31.66666667,20,25.55555556,0,,43,2,21,0.03,,,89,68,78,0
10001,2/22/1943,0,,31.11111111,22.22222222,26.66666667,0,,43,2,22,0,,,88,72,80,0
10001,2/23/1943,0,,31.11111111,23.33333333,27.22222222,0,,43,2,23,0,,,88,74,81,0
10001,2/24/1943,0,,31.11111111,23.33333333,27.22222222,0,,43,2,24,0,,,88,74,81,0
10001,2/25/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,2,25,0,,,88,73,80,0
10001,2/26/1943,0,,31.66666667,21.66666667,26.66666667,0,,43,2,26,0,,,89,71,80,0
10001,2/27/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,2,27,0,,,88,73,80,0
10001,2/28/1943,0,,31.66666667,23.33333333,27.77777778,0,,43,2,28,0,,,89,74,82,0
10001,3/1/1943,0,,31.66666667,23.33333333,27.77777778,0,,43,3,1,0,,,89,74,82,0
10001,3/2/1943,0,,32.77777778,23.33333333,27.77777778,0,,43,3,2,0,,,91,74,82,0
10001,3/3/1943,0,,32.22222222,23.33333333,27.77777778,0,,43,3,3,0,,,90,74,82,0
10001,3/4/1943,0,,32.22222222,23.88888889,27.77777778,0,,43,3,4,0,,,90,75,82,0
10001,3/5/1943,0,,31.66666667,24.44444444,27.77777778,0,,43,3,5,0,,,89,76,82,0
10001,3/6/1943,0,,32.22222222,23.88888889,27.77777778,0,,43,3,6,0,,,90,75,82,0
10001,3/7/1943,0,,32.22222222,23.88888889,27.77777778,0,,43,3,7,0,,,90,75,82,0
10001,3/8/1943,0,,32.22222222,23.33333333,27.77777778,0,,43,3,8,0,,,90,74,82,0
10001,3/9/1943,T,,31.66666667,23.88888889,27.77777778,0,,43,3,9,T,,,89,75,82,0
10001,3/10/1943,0,,32.22222222,23.88888889,27.77777778,0,,43,3,10,0,,,90,75,82,0
10001,3/11/1943,T,,32.22222222,24.44444444,28.33333333,0,,43,3,11,T,,,90,76,83,0
10001,3/12/1943,19.304,,31.66666667,23.33333333,27.77777778,0,,43,3,12,0.76,,,89,74,82,0
10001,3/13/1943,0,,28.88888889,21.66666667,25.55555556,0,,43,3,13,0,,,84,71,78,0
10001,3/14/1943,0,,32.22222222,22.22222222,27.22222222,0,,43,3,14,0,,,90,72,81,0
10001,3/15/1943,47.752,,35,23.33333333,28.88888889,0,,43,3,15,1.88,,,95,74,84,0
10001,3/16/1943,0,,30.55555556,22.22222222,26.66666667,0,,43,3,16,0,,,87,72,80,0
10001,3/17/1943,0,,32.22222222,22.22222222,27.22222222,0,,43,3,17,0,,,90,72,81,0
10001,3/18/1943,0,,31.11111111,22.77777778,26.66666667,0,,43,3,18,0,,,88,73,80,0
10001,3/19/1943,0.762,,28.33333333,23.33333333,25.55555556,0,,43,3,19,0.03,,,83,74,78,0
10001,3/20/1943,0,,31.11111111,21.11111111,26.11111111,0,,43,3,20,0,,,88,70,79,0
10001,3/21/1943,0,,30.55555556,20.55555556,25.55555556,0,,43,3,21,0,,,87,69,78,0
10001,3/22/1943,0.508,,30.55555556,21.11111111,25.55555556,0,,43,3,22,0.02,,,87,70,78,0
